school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,grade_improvement,avg_G1_G2,weighted_grade,grade_volatility,study_intensity,parent_education_avg,high_achiever,struggling,support_score,alcohol_risk
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,10,8,9,-1,9.0,8.6,1.0,10.0,4.0,0,1,2,0
GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,10,12,12,2,11.0,11.399999999999999,1.1547005383792517,3.0,1.5,0,0,1,0
GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,14,14,14,0,14.0,14.0,0.0,1.6666666666666667,4.0,0,0,2,1
GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,10,10,11,1,10.0,10.0,0.5773502691896257,3.3333333333333335,3.5,0,0,2,0
GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,14,16,16,2,15.0,15.399999999999999,1.1547005383792517,15.0,2.0,1,0,1,0
GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,14,14,14,0,14.0,14.0,0.0,1.0,4.0,0,0,1,0
GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,13,14,14,1,13.5,13.7,0.5773502691896257,2.142857142857143,4.0,0,0,2,0
GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,8,10,10,2,9.0,9.4,1.1547005383792517,2.0,3.0,0,0,2,0
GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,0,1,0,1,1,1,1,0,5,5,5,2,4,5,16,6,5,5,-1,5.5,5.3,0.5773502691896258,0.29411764705882354,2.5,0,1,1,1
GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,8,10,10,2,9.0,9.4,1.1547005383792517,1.0,3.5,0,0,1,1
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,13,14,15,2,13.5,13.7,1.0,10.0,3.5,1,0,0,0
GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,12,15,15,3,13.5,14.1,1.7320508075688772,5.0,4.0,1,0,2,0
GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,15,15,16,1,15.0,15.0,0.5773502691896257,3.3333333333333335,3.0,1,0,0,1
GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,13,13,12,-1,13.0,13.0,0.5773502691896257,10.0,2.0,0,0,1,1
GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,10,9,8,-2,9.5,9.3,1.0,5.0,3.0,0,1,3,0
GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,6,9,8,2,7.5,8.1,1.5275252316519465,0.3333333333333333,2.0,0,1,2,1
GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,12,12,11,-1,12.0,11.999999999999998,0.5773502691896257,1.6666666666666667,2.0,0,0,2,0
GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,1,4,15,16,15,0,15.5,15.7,0.5773502691896257,1.0,3.0,1,0,1,1
GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,5,4,11,11,11,0,11.0,11.0,0.0,2.0,3.5,0,0,2,0
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,16,10,12,11,1,11.0,11.399999999999999,1.0,0.5882352941176471,4.0,0,0,2,1
GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,9,11,12,3,10.0,10.399999999999999,1.5275252316519468,10.0,4.0,0,0,2,1
GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,0,17,16,17,0,16.5,16.299999999999997,0.5773502691896258,10.0,4.0,1,0,1,0
GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,17,16,16,-1,16.5,16.299999999999997,0.5773502691896258,10.0,3.5,1,0,1,0
GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,8,10,12,4,9.0,9.4,2.0,10.0,3.0,0,0,0,0
GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,0,1,1,0,0,1,1,0,5,4,3,1,1,5,0,12,14,15,3,13.0,13.399999999999999,1.5275252316519468,5.0,2.5,1,0,2,0
GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,0,8,7,6,-2,7.5,7.299999999999999,1.0,5.0,2.5,0,1,1,0
GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,2,15,16,18,3,15.5,15.7,1.5275252316519465,5.0,3.5,1,0,1,0
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,7,15,16,15,0,15.5,15.7,0.5773502691896257,1.875,4.0,1,0,1,0
GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,12,12,11,-1,12.0,11.999999999999998,0.5773502691896257,5.0,3.5,0,0,3,0
GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,1,1,1,1,1,1,0,0,4,3,1,1,1,2,8,14,13,13,-1,13.5,13.3,0.5773502691896257,0.5555555555555556,2.0,0,0,3,0
GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,1,0,1,0,1,0,1,1,1,3,3,3,1,2,3,25,7,10,11,4,8.5,9.1,2.081665999466133,0.38461538461538464,2.0,0,0,1,0
GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,12,12,12,0,12.0,11.999999999999998,0.0,0.5555555555555556,4.0,0,0,1,1
GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,2,19,18,18,-1,18.5,18.3,0.5773502691896258,3.3333333333333335,4.0,1,0,1,0
GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,8,8,11,3,8.0,8.0,1.7320508075688772,5.0,2.0,0,0,2,0
GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,10,10,9,-1,10.0,10.0,0.5773502691896257,0.6666666666666666,2.0,0,1,1,1
GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,8,8,8,6,-2,8.0,8.0,1.1547005383792517,1.1111111111111112,3.5,0,1,3,0
GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,12,11,12,11,0,11.5,11.7,0.5773502691896257,0.7692307692307693,3.0,0,0,1,1
GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,4,19,19,20,1,19.0,19.0,0.5773502691896258,4.0,3.5,1,0,0,0
GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,0,1,1,0,1,1,0,0,4,3,3,2,2,5,2,15,15,14,-1,15.0,15.0,0.5773502691896257,3.3333333333333335,3.0,0,0,2,1
GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,1,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,7,7,7,0,7.0,7.0,0.0,3.3333333333333335,4.0,0,1,2,0
GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,4,2,12,13,13,1,12.5,12.7,0.5773502691896257,3.3333333333333335,2.0,0,0,2,1
GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2,11,13,13,2,12.0,12.399999999999999,1.1547005383792517,3.3333333333333335,3.0,0,0,2,0
GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,1,0,0,0,0,1,1,0,0,5,5,5,3,4,5,6,11,11,10,-1,11.0,11.0,0.5773502691896257,0.7142857142857143,3.0,0,0,0,1
GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,1,1,1,0,1,1,1,0,3,3,4,2,3,5,0,8,10,11,3,9.0,9.4,1.5275252316519468,5.0,4.0,0,0,3,1
GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,0,0,1,0,1,1,1,0,5,3,4,4,4,1,6,10,13,13,3,11.5,12.1,1.7320508075688772,0.7142857142857143,3.0,0,0,1,1
GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,0,0,1,1,1,1,1,1,5,3,4,1,1,2,8,8,9,10,2,8.5,8.7,1.0,1.1111111111111112,1.5,0,0,1,0
GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,0,1,1,1,1,1,1,0,4,3,2,1,1,1,0,14,15,15,1,14.5,14.7,0.5773502691896257,10.0,3.5,1,0,2,0
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,4,14,15,15,1,14.5,14.7,0.5773502691896257,2.0,4.0,1,0,1,0
GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,9,10,9,0,9.5,9.7,0.5773502691896257,3.3333333333333335,1.5,0,1,2,0
GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,0,1,0,0,1,1,1,0,4,2,3,1,1,5,2,15,16,16,1,15.5,15.7,0.5773502691896257,3.3333333333333335,3.0,1,0,1,0
GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,6,10,11,11,1,10.5,10.7,0.5773502691896257,1.4285714285714286,4.0,0,0,1,1
GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,6,10,8,11,1,9.0,8.6,1.5275252316519468,0.7142857142857143,1.0,0,0,2,1
GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,4,8,10,9,1,9.0,9.4,1.0,2.0,1.5,0,1,1,0
GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,1,1,1,1,1,1,1,0,3,4,4,2,4,4,2,10,9,9,-1,9.5,9.3,0.5773502691896257,5.0,3.5,0,1,3,1
GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,10,10,10,0,10.0,10.0,0.0,10.0,3.5,0,0,1,1
GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,16,15,15,-1,15.5,15.3,0.5773502691896257,3.3333333333333335,3.5,1,0,1,0
GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,4,13,13,12,-1,13.0,13.0,0.5773502691896257,4.0,4.0,0,0,1,1
GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,1,1,1,0,1,1,1,0,4,3,3,1,2,5,4,7,7,6,-1,7.0,7.0,0.5773502691896258,4.0,2.0,0,1,3,0
GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,1,1,1,0,1,1,1,0,4,1,3,1,3,4,2,8,9,8,0,8.5,8.7,0.5773502691896257,3.3333333333333335,2.0,0,1,3,1
GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,12,16,16,16,0,16.0,16.0,0.0,1.5384615384615385,2.0,1,0,1,1
GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,0,1,1,0,1,1,1,0,4,3,2,1,1,5,0,13,15,15,2,14.0,14.4,1.1547005383792517,20.0,2.0,1,0,2,0
GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,10,10,10,0,10.0,10.0,0.0,20.0,3.0,0,0,0,0
GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,2,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,8,6,5,-3,7.0,6.6,1.5275252316519465,3.3333333333333335,1.0,0,1,2,1
GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,2,12,12,14,2,12.0,11.999999999999998,1.1547005383792517,1.6666666666666667,2.0,0,0,0,1
GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,1,1,1,1,1,1,1,0,4,3,3,2,4,5,54,11,12,11,0,11.5,11.7,0.5773502691896257,0.18181818181818182,3.0,0,0,3,1
GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,0,1,1,1,1,1,1,0,4,3,3,2,3,5,6,9,9,10,1,9.0,9.0,0.5773502691896257,1.4285714285714286,3.5,0,0,2,1
GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,8,11,11,10,-1,11.0,11.0,0.5773502691896257,2.2222222222222223,2.0,0,0,0,0
GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,0,0,1,0,1,1,1,1,5,2,3,1,3,3,0,11,11,11,0,11.0,11.0,0.0,20.0,2.0,0,0,1,1
GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,2,8,8,10,2,8.0,8.0,1.1547005383792517,1.6666666666666667,1.5,0,0,2,0
GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,12,5,5,5,0,5.0,5.0,0.0,0.7692307692307693,3.5,0,1,1,0
GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,1,1,1,1,0,1,1,1,3,2,2,1,3,3,2,10,12,12,2,11.0,11.399999999999999,1.1547005383792517,1.6666666666666667,2.5,0,0,3,1
GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,1,0,1,0,0,1,1,0,5,3,2,1,2,5,4,11,10,11,0,10.5,10.3,0.5773502691896257,3.0,2.5,0,0,2,0
GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,0,1,1,0,1,1,1,0,4,4,4,1,1,5,10,7,6,6,-1,6.5,6.299999999999999,0.5773502691896258,0.9090909090909091,2.5,0,1,2,0
GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,4,15,15,15,0,15.0,15.0,0.0,2.0,2.0,1,0,1,1
GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,9,10,10,1,9.5,9.7,0.5773502691896257,3.3333333333333335,1.0,0,0,1,1
GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,2,0,0,1,0,1,1,1,1,4,4,4,2,3,5,6,7,9,8,1,8.0,8.4,1.0,1.4285714285714286,4.0,0,1,1,1
GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,4,8,7,6,-2,7.5,7.299999999999999,1.0,2.0,2.0,0,1,1,0
GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4,13,14,14,1,13.5,13.7,0.5773502691896257,3.0,3.0,0,0,1,1
GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,1,0,0,1,1,0,1,1,0,4,4,2,1,1,3,12,11,10,10,-1,10.5,10.3,0.5773502691896257,0.7692307692307693,2.0,0,0,1,0
GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,18,8,6,7,-1,7.0,6.6,1.0,0.5263157894736842,4.0,0,1,1,1
GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,0,1,1,0,1,1,1,1,4,3,3,1,3,4,0,7,7,8,1,7.0,7.0,0.5773502691896258,15.0,3.0,0,1,2,1
GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,0,0,1,1,1,1,1,0,4,5,5,1,3,1,4,16,17,18,2,16.5,16.7,1.0,1.0,3.5,1,0,1,1
GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,4,7,6,6,-1,6.5,6.299999999999999,0.5773502691896258,2.0,2.0,0,1,2,1
GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,1,1,0,11,10,10,-1,10.5,10.3,0.5773502691896257,10.0,3.0,0,0,2,0
GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,0,1,0,1,1,1,1,0,4,3,4,1,1,4,6,11,13,14,3,12.0,12.399999999999999,1.5275252316519468,2.857142857142857,2.0,0,0,1,0
GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,1,1,1,1,1,1,1,1,0,3,1,2,1,1,1,2,7,10,10,3,8.5,9.1,1.7320508075688772,6.666666666666667,1.0,0,0,3,0
GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,1,1,0,1,0,1,1,0,3,3,3,1,1,4,2,11,15,15,4,13.0,13.8,2.3094010767585034,1.6666666666666667,3.5,1,0,2,0
GP,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,0,0,1,1,0,1,1,0,1,4,3,5,1,1,5,2,8,9,10,2,8.5,8.7,1.0,3.3333333333333335,1.5,0,0,2,0
GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,6,11,14,14,3,12.5,13.099999999999998,1.7320508075688772,0.7142857142857143,4.0,0,0,0,0
GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,0,1,1,1,0,1,1,1,0,5,3,5,1,1,3,0,7,9,8,1,8.0,8.4,1.0,15.0,3.5,0,1,3,0
GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,1,1,1,1,1,1,1,0,4,5,5,5,5,4,14,7,7,5,-2,7.0,7.0,1.1547005383792517,0.3333333333333333,4.0,0,1,3,1
GP,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,1,4,0,16,17,17,1,16.5,16.7,0.5773502691896258,15.0,4.0,1,0,1,0
GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,0,1,0,1,0,1,1,0,5,3,3,1,1,5,4,10,13,14,4,11.5,12.1,2.081665999466133,1.0,4.0,0,0,1,0
GP,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,0,1,1,1,0,1,1,1,0,4,3,5,1,1,2,26,7,6,6,-1,6.5,6.299999999999999,0.5773502691896258,0.37037037037037035,2.5,0,1,3,0
GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,0,1,1,1,1,1,1,0,5,4,4,1,1,1,0,16,18,18,2,17.0,17.4,1.1547005383792515,10.0,3.5,1,0,2,0
GP,F,15,U,GT3,A,3,3,other,health,reputation,father,1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10,10,11,11,1,10.5,10.7,0.5773502691896257,1.8181818181818181,3.0,0,0,1,0
GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,4,0,1,1,1,0,1,1,1,0,5,1,2,1,1,3,8,7,8,8,1,7.5,7.699999999999999,0.5773502691896258,2.2222222222222223,2.0,0,1,3,0
GP,M,16,U,GT3,T,3,3,services,other,home,father,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,2,16,18,18,2,17.0,17.4,1.1547005383792515,5.0,3.0,1,0,1,0
GP,M,15,R,GT3,T,4,4,other,other,home,father,4,4,0,0,1,1,1,1,1,1,1,1,3,5,3,5,1,6,10,13,13,3,11.5,12.1,1.7320508075688772,2.857142857142857,4.0,0,0,2,1
GP,F,16,U,LE3,T,4,4,health,health,other,mother,1,3,0,0,1,1,1,1,1,1,1,5,4,5,1,1,4,4,14,15,16,2,14.5,14.7,1.0,3.0,4.0,1,0,2,0
GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,0,0,0,1,1,1,1,0,5,5,3,1,1,4,6,18,19,19,1,18.5,18.7,0.5773502691896258,0.7142857142857143,4.0,1,0,0,0
GP,F,16,R,GT3,T,3,3,services,other,reputation,father,1,3,1,1,1,0,1,1,1,1,0,4,1,2,1,1,2,0,7,10,10,3,8.5,9.1,1.7320508075688772,15.0,3.0,0,0,2,0
GP,F,16,U,GT3,T,2,2,at_home,other,home,mother,1,2,1,1,0,0,1,1,1,1,0,3,1,2,1,1,5,6,10,13,13,3,11.5,12.1,1.7320508075688772,1.4285714285714286,2.0,0,0,1,0
GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,0,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10,18,19,19,1,18.5,18.7,0.5773502691896258,0.45454545454545453,3.0,1,0,0,0
GP,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,8,9,9,9,0,9.0,9.0,0.0,1.1111111111111112,1.5,0,1,0,0
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,father,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,2,15,15,16,1,15.0,15.0,0.5773502691896257,3.3333333333333335,4.0,1,0,1,0
GP,M,15,U,GT3,T,4,4,other,teacher,reputation,father,2,2,0,0,1,0,1,1,1,0,0,4,4,3,1,1,2,2,11,13,14,3,12.0,12.399999999999999,1.5275252316519468,3.3333333333333335,4.0,0,0,1,0
GP,M,16,U,GT3,T,3,3,other,services,home,father,2,1,0,0,0,0,1,1,1,1,0,5,4,2,1,1,5,0,13,14,13,0,13.5,13.7,0.5773502691896257,5.0,3.0,0,0,0,0
GP,M,17,R,GT3,T,1,3,other,other,course,father,3,2,1,0,1,0,1,1,1,1,0,5,2,4,1,4,5,20,9,7,8,-1,8.0,7.6,1.0,0.47619047619047616,2.0,0,1,1,1
GP,M,15,U,GT3,T,3,4,other,other,reputation,father,1,1,0,0,0,0,0,1,1,1,0,3,4,3,1,2,4,6,14,13,13,-1,13.5,13.3,0.5773502691896257,0.7142857142857143,3.5,0,0,0,0
GP,F,15,U,GT3,T,1,2,at_home,services,course,mother,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,2,16,15,15,-1,15.5,15.3,0.5773502691896257,3.3333333333333335,1.5,1,0,0,0
GP,M,15,U,GT3,T,2,2,services,services,home,father,1,4,0,0,1,1,1,1,1,1,0,5,5,4,1,2,5,6,16,14,15,-1,15.0,14.599999999999998,1.0,2.857142857142857,2.0,1,0,2,0
GP,F,16,U,LE3,T,2,4,other,health,course,father,2,2,0,0,1,1,1,1,1,1,1,4,2,2,1,2,5,2,13,13,13,0,13.0,13.0,0.0,3.3333333333333335,3.0,0,0,2,0
GP,M,16,U,GT3,T,4,4,health,other,course,mother,1,1,0,0,1,0,1,1,1,1,0,3,4,4,1,4,5,18,14,11,13,-1,12.5,11.899999999999999,1.5275252316519468,0.2631578947368421,4.0,0,0,1,1
GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,0,0,1,0,1,1,1,1,5,4,4,1,1,5,0,8,7,8,0,7.5,7.299999999999999,0.5773502691896258,10.0,2.0,0,1,1,0
