studytime,absences,G1,G2,freetime,goout,health,internet,Medu,Fedu,schoolsup,famsup,G3,subject
3,28,10,9,4,3,5,yes,3,4,no,yes,9,math
2,5,7,7,3,3,4,yes,3,1,no,yes,7,math
2,10,11,12,3,2,1,yes,4,3,no,no,13,math
1,6,9,9,3,2,5,no,1,1,no,yes,10,math
3,6,7,7,4,2,4,yes,4,3,no,yes,7,math
4,10,8,8,3,3,3,yes,3,3,no,yes,8,math
2,13,12,12,3,5,3,yes,4,4,no,yes,13,math
2,0,12,13,3,4,4,yes,2,2,yes,yes,14,math
2,15,6,7,4,4,5,yes,2,2,no,yes,8,math
1,12,8,10,2,1,3,no,4,4,no,yes,10,math
2,2,14,15,4,4,1,yes,3,2,no,no,15,math
2,22,6,6,4,5,1,yes,4,3,no,no,4,math
2,13,6,6,2,4,4,yes,3,3,no,yes,8,math
1,3,7,7,3,3,3,no,2,3,no,yes,8,math
3,4,9,10,3,3,4,yes,2,2,no,yes,10,math
2,2,6,6,2,5,5,yes,2,1,no,yes,6,math
3,0,6,5,3,4,5,no,1,1,no,yes,0,math
2,2,16,16,3,1,3,yes,2,3,yes,no,17,math
2,0,12,13,3,3,4,yes,2,2,no,yes,13,math
3,0,13,13,3,2,5,yes,4,4,no,yes,14,math
2,16,9,8,3,3,4,yes,3,1,no,no,7,math
2,10,16,15,3,4,3,yes,3,2,no,no,15,math
2,2,12,11,3,3,3,yes,2,3,no,yes,12,math
2,14,10,8,3,2,3,yes,2,1,yes,yes,9,math
3,10,12,10,2,3,3,yes,2,1,no,no,12,math
2,14,13,13,2,3,3,yes,4,3,no,no,14,math
2,4,11,11,5,2,1,yes,2,2,no,yes,11,math
2,14,11,9,5,5,2,yes,4,4,yes,yes,9,math
2,2,14,13,2,4,1,yes,4,4,no,yes,13,math
2,18,9,7,4,2,5,yes,1,1,no,yes,6,math
3,10,11,9,3,3,2,yes,3,2,no,no,10,math
2,4,14,13,4,2,4,yes,2,2,no,no,13,math
1,20,13,12,5,2,5,yes,2,1,no,no,12,math
2,2,13,11,1,1,3,no,2,1,no,no,11,math
2,0,7,7,5,4,2,yes,2,2,no,no,0,math
2,14,12,12,5,5,5,yes,4,3,no,no,12,math
2,2,10,11,3,3,4,yes,4,4,no,yes,12,math
1,0,6,0,4,5,3,yes,4,3,no,no,0,math
1,0,13,12,3,2,5,yes,4,4,no,no,12,math
3,0,7,0,4,4,3,yes,2,1,no,yes,0,math
1,6,18,18,3,3,4,yes,2,1,no,no,18,math
1,4,12,12,2,2,2,yes,2,3,no,no,13,math
1,16,6,8,4,5,1,yes,3,1,no,no,8,math
2,8,3,5,3,3,5,yes,3,3,no,yes,5,math
1,0,13,15,3,2,5,yes,0,2,no,no,15,math
1,0,6,8,4,5,5,yes,3,2,no,no,8,math
2,6,7,10,3,3,2,yes,3,3,yes,yes,10,math
1,4,6,9,2,5,5,yes,2,1,no,no,8,math
1,0,8,9,3,2,3,no,2,1,no,no,8,math
1,0,8,12,4,2,5,yes,2,1,no,no,12,math
1,2,7,9,4,4,5,yes,1,1,no,yes,8,math
4,6,14,12,2,3,4,yes,4,2,no,yes,13,math
2,12,11,11,3,1,1,yes,4,3,no,yes,11,math
2,8,15,14,2,4,4,yes,2,1,no,no,14,math
4,0,10,9,4,1,2,yes,2,2,no,no,0,math
2,21,17,18,1,2,2,yes,4,3,no,yes,18,math
2,2,8,8,3,2,3,yes,4,3,no,yes,8,math
3,1,13,12,3,2,3,no,3,2,no,no,12,math
3,4,10,9,2,3,4,no,3,3,no,no,9,math
3,0,9,10,3,3,3,yes,2,2,no,yes,0,math
2,13,17,17,2,5,1,yes,3,4,no,yes,17,math
2,2,9,9,4,4,5,yes,3,1,no,no,10,math
2,8,12,10,3,4,4,yes,4,4,no,no,11,math
2,10,10,9,4,5,5,yes,4,2,no,yes,10,math
2,0,6,0,3,5,3,yes,2,1,no,yes,0,math
2,15,9,9,3,5,5,yes,3,3,no,yes,9,math
4,4,15,14,5,5,2,yes,2,3,no,yes,14,math
2,2,11,11,4,3,3,no,1,1,no,yes,11,math
2,2,15,14,5,2,1,no,1,2,no,yes,14,math
2,2,10,10,3,3,1,yes,2,4,no,yes,10,math
2,6,12,12,4,4,5,yes,2,2,yes,yes,12,math
2,75,10,9,1,1,5,yes,3,2,no,no,9,math
1,22,9,9,2,4,3,yes,4,4,no,no,9,math
2,15,9,8,4,4,4,yes,4,4,yes,yes,8,math
1,8,10,11,2,3,1,yes,4,3,no,no,10,math
1,30,8,8,5,4,5,yes,4,1,no,no,8,math
1,19,11,9,4,4,3,yes,3,2,no,no,10,math
4,1,12,12,2,2,3,no,1,1,no,yes,12,math
2,4,8,9,4,4,4,yes,1,1,yes,no,10,math
2,4,10,9,4,5,5,yes,2,2,no,yes,11,math
2,2,12,10,3,3,4,yes,1,1,no,no,11,math
3,5,18,18,3,3,2,yes,2,2,no,yes,19,math
3,6,13,12,3,3,3,yes,1,1,no,yes,12,math
3,6,15,14,2,4,2,yes,2,1,no,no,14,math
2,9,15,13,4,3,2,yes,4,4,no,yes,15,math
2,11,12,11,3,2,5,yes,4,2,no,yes,11,math
3,0,15,15,2,2,3,yes,4,3,no,yes,15,math
2,12,12,12,4,3,5,yes,2,1,no,no,13,math
4,6,18,18,1,2,3,no,3,1,no,yes,18,math
3,8,14,13,4,2,4,yes,3,2,no,yes,14,math
1,4,14,12,4,3,5,yes,3,3,no,yes,11,math
2,0,10,9,3,4,2,yes,4,4,no,yes,0,math
2,10,10,8,4,5,2,yes,4,3,no,yes,8,math
4,0,14,13,3,3,3,yes,4,3,no,yes,14,math
1,5,16,15,4,2,1,yes,4,4,no,yes,16,math
2,14,12,10,2,4,4,yes,4,4,no,yes,11,math
1,0,11,11,1,1,5,yes,4,4,no,no,10,math
3,0,15,12,3,3,3,yes,4,2,no,yes,14,math
4,0,17,17,2,2,5,yes,3,2,no,yes,18,math
2,20,15,14,4,4,3,yes,3,3,no,yes,13,math
2,8,14,12,4,3,3,yes,2,4,no,yes,12,math
1,0,17,18,5,3,5,no,3,2,no,no,18,math
1,38,8,9,3,4,4,yes,4,4,no,yes,8,math
2,0,15,12,5,3,5,no,3,3,no,no,12,math
2,18,12,10,4,3,3,yes,1,1,yes,yes,10,math
2,0,9,9,2,4,3,no,1,2,no,no,0,math
2,20,14,12,4,1,2,yes,2,1,no,yes,13,math
2,3,13,11,5,2,4,yes,1,2,no,no,11,math
2,22,13,10,2,2,1,yes,3,2,no,yes,11,math
3,14,15,13,1,2,3,yes,1,1,no,no,13,math
3,40,13,11,1,2,3,yes,2,3,no,no,11,math
2,0,8,8,3,3,1,yes,2,1,no,yes,0,math
3,9,9,10,3,4,5,yes,4,3,no,yes,9,math
3,0,11,11,3,4,5,yes,3,4,no,yes,10,math
2,2,11,11,4,4,5,yes,4,4,no,yes,11,math
2,23,13,13,2,2,5,yes,4,3,no,yes,13,math
2,12,11,9,2,2,3,no,2,2,no,yes,9,math
3,3,11,11,3,2,3,yes,2,2,no,yes,11,math
3,1,12,14,4,3,5,yes,3,1,no,yes,15,math
3,0,16,15,3,3,2,yes,0,2,no,no,15,math
3,3,9,12,3,3,3,yes,4,4,no,no,11,math
1,3,14,15,3,5,5,yes,3,3,no,no,16,math
1,8,11,10,4,5,4,yes,2,2,no,yes,10,math
3,7,10,9,4,4,4,yes,4,4,no,yes,9,math
3,4,14,14,3,3,4,yes,4,4,no,yes,14,math
4,2,9,8,5,5,5,yes,2,2,no,yes,8,math
3,7,12,14,4,3,5,yes,2,4,no,yes,14,math
2,0,7,0,3,4,4,yes,3,3,no,no,0,math
2,0,8,8,3,3,2,yes,2,2,no,no,0,math
4,0,10,9,4,4,4,no,2,2,no,no,0,math
3,16,16,15,4,5,5,yes,3,4,no,no,15,math
3,12,14,13,4,3,5,no,3,1,no,no,13,math
2,0,7,8,3,2,2,yes,3,2,no,yes,0,math
4,7,16,15,3,3,1,yes,3,3,no,yes,17,math
2,4,9,10,3,3,2,yes,3,2,no,yes,10,math
3,4,11,12,3,4,3,yes,2,1,no,no,11,math
2,0,10,10,3,3,2,yes,4,4,no,yes,0,math
2,11,16,15,3,3,5,yes,3,4,no,no,15,math
2,0,9,8,3,1,4,yes,2,2,no,yes,0,math
3,4,11,10,3,3,3,yes,2,3,no,yes,10,math
3,7,13,13,4,3,1,yes,3,2,no,no,14,math
3,9,16,15,3,2,4,yes,4,3,no,no,16,math
3,0,10,10,4,5,5,yes,4,3,no,yes,9,math
3,0,13,15,4,3,4,yes,4,3,no,yes,15,math
1,10,11,13,5,5,5,yes,3,2,no,yes,13,math
2,8,8,7,4,4,2,yes,1,1,no,no,8,math
2,2,13,13,5,4,3,yes,3,3,no,yes,13,math
1,7,8,7,3,3,3,yes,1,3,no,no,8,math
1,4,8,8,4,4,5,yes,1,1,no,yes,8,math
2,4,13,11,5,5,2,yes,4,3,no,yes,11,math
2,0,10,9,3,4,5,no,3,3,no,yes,9,math
2,4,12,13,3,3,5,yes,4,4,no,yes,13,math
2,2,12,12,2,3,5,no,3,2,no,no,11,math
1,4,10,10,3,2,3,yes,1,1,no,no,10,math
3,0,18,16,3,2,4,yes,1,1,no,no,16,math
2,0,13,13,3,4,5,no,1,4,no,no,13,math
2,2,13,12,4,3,5,no,1,1,no,no,12,math
2,0,11,11,3,2,3,yes,3,3,no,yes,10,math
2,0,16,15,3,4,1,yes,4,4,no,yes,15,math
2,0,12,11,2,2,3,no,1,2,no,no,12,math
2,4,10,10,3,4,3,no,1,3,no,yes,10,math
3,0,13,13,2,2,5,yes,4,4,no,no,13,math
1,0,7,6,2,1,1,yes,1,1,no,yes,0,math
1,0,11,10,2,3,4,yes,2,3,no,yes,10,math
2,10,14,12,2,2,5,yes,4,4,no,yes,11,math
2,4,7,7,2,2,3,no,3,2,no,no,9,math
1,3,14,12,3,3,3,yes,1,2,no,yes,12,math
3,8,13,11,4,3,3,no,2,2,no,no,11,math
1,14,6,5,5,5,1,yes,1,2,no,no,5,math
3,0,19,18,4,4,1,yes,4,4,no,no,19,math
3,2,8,8,3,2,4,yes,1,1,no,no,10,math
3,4,15,14,4,3,3,yes,4,2,no,yes,15,math
2,4,8,9,4,3,2,yes,4,4,no,no,10,math
2,0,15,15,1,3,1,yes,3,3,no,no,15,math
2,17,10,10,5,4,1,yes,3,1,no,yes,10,math
2,4,15,14,2,4,2,yes,4,4,no,no,14,math
1,5,7,6,4,3,5,yes,2,1,no,no,7,math
2,2,11,11,4,3,3,yes,2,3,no,no,10,math
1,0,6,5,3,2,5,no,1,1,no,no,0,math
1,14,6,5,4,3,3,no,4,2,no,no,5,math
3,2,10,9,3,3,4,no,2,2,no,no,10,math
1,7,6,5,4,3,5,yes,4,4,no,yes,6,math
3,0,7,5,4,2,5,yes,2,3,no,no,0,math
2,0,7,9,3,4,1,yes,3,1,no,yes,8,math
2,0,6,5,1,1,5,no,1,1,no,no,0,math
2,11,9,9,5,4,4,no,2,2,no,yes,9,math
1,3,14,16,4,5,2,yes,3,1,no,no,16,math
1,3,10,8,5,3,3,no,1,1,no,no,7,math
1,0,11,12,4,1,5,yes,3,2,no,no,10,math
1,5,8,9,2,3,5,yes,1,1,no,no,9,math
2,4,0,11,3,4,3,no,4,4,yes,no,11,portuguese
2,2,9,11,3,3,3,yes,1,1,no,yes,11,portuguese
2,6,12,13,3,2,3,yes,1,1,yes,no,12,portuguese
3,0,14,14,2,2,5,yes,4,2,no,yes,14,portuguese
2,0,11,13,3,2,5,no,3,3,no,yes,13,portuguese
2,6,12,12,4,2,5,yes,4,3,no,yes,13,portuguese
2,0,13,12,4,4,3,yes,2,2,no,no,13,portuguese
2,2,10,13,1,4,1,no,4,4,yes,yes,13,portuguese
2,0,15,16,2,2,1,yes,3,2,no,yes,17,portuguese
2,0,12,12,5,1,5,yes,3,4,no,yes,13,portuguese
2,2,14,14,3,3,2,yes,4,4,no,yes,14,portuguese
3,0,10,12,2,2,4,yes,2,1,no,yes,13,portuguese
1,0,12,13,3,3,5,yes,4,4,no,yes,12,portuguese
2,0,12,12,4,3,3,yes,4,3,no,yes,13,portuguese
3,0,14,14,5,2,3,yes,2,2,no,yes,15,portuguese
1,6,17,17,4,4,2,yes,4,4,no,yes,17,portuguese
3,10,13,13,2,3,2,yes,4,4,no,yes,14,portuguese
2,2,13,14,3,2,4,no,3,3,yes,yes,14,portuguese
1,2,8,8,5,5,5,yes,3,2,no,yes,7,portuguese
1,6,12,12,1,3,5,yes,4,3,no,no,12,portuguese
2,0,12,13,4,1,1,yes,4,3,no,no,14,portuguese
1,0,11,12,4,2,5,yes,4,4,no,yes,12,portuguese
2,0,12,13,5,1,5,yes,4,2,no,no,14,portuguese
2,2,10,10,4,4,5,yes,2,2,no,yes,10,portuguese
3,2,10,11,3,2,5,yes,2,4,yes,yes,10,portuguese
1,6,10,11,2,2,5,yes,2,2,no,yes,12,portuguese
1,8,11,12,2,2,5,yes,2,2,no,yes,12,portuguese
1,0,11,11,2,4,1,yes,4,2,no,no,11,portuguese
2,2,12,12,3,3,5,yes,3,4,yes,yes,13,portuguese
2,4,12,11,4,5,5,yes,4,4,no,yes,12,portuguese
2,0,10,11,4,2,5,yes,4,4,no,yes,11,portuguese
2,2,15,15,3,1,5,yes,4,4,no,yes,15,portuguese
2,0,13,14,5,2,5,yes,4,3,no,yes,15,portuguese
2,0,13,12,3,2,2,yes,3,3,no,no,12,portuguese
1,4,12,12,4,3,5,yes,3,2,no,yes,12,portuguese
1,4,11,11,5,1,5,no,2,3,no,yes,11,portuguese
3,0,14,14,4,3,4,yes,4,3,no,yes,14,portuguese
3,4,13,13,4,3,5,yes,4,4,no,yes,13,portuguese
3,2,11,12,3,2,5,yes,3,4,yes,yes,12,portuguese
1,8,14,13,3,1,2,no,2,2,yes,yes,12,portuguese
2,16,11,11,3,3,3,yes,2,2,no,yes,10,portuguese
1,8,10,11,4,3,5,yes,4,4,no,yes,11,portuguese
2,0,14,15,3,3,5,yes,4,4,no,yes,15,portuguese
1,0,9,10,4,1,1,yes,2,2,yes,yes,10,portuguese
2,14,10,11,3,3,5,yes,2,2,yes,no,11,portuguese
2,4,10,11,2,2,5,yes,4,3,yes,yes,11,portuguese
2,6,13,12,3,5,3,yes,3,3,no,yes,13,portuguese
4,2,17,17,2,2,2,yes,4,3,no,no,17,portuguese
2,4,11,12,3,3,5,no,4,2,no,yes,13,portuguese
2,2,13,12,4,4,3,yes,4,4,yes,yes,12,portuguese
2,0,14,13,3,3,4,yes,2,2,no,yes,13,portuguese
2,0,16,14,3,3,5,yes,4,2,no,yes,16,portuguese
1,4,10,9,5,5,5,no,4,2,no,no,9,portuguese
1,0,13,12,3,4,5,yes,4,4,yes,yes,12,portuguese
1,0,13,12,3,4,1,yes,3,3,no,no,13,portuguese
2,2,12,13,3,4,2,yes,2,1,no,no,12,portuguese
2,0,15,14,3,2,1,yes,4,3,no,yes,15,portuguese
2,8,15,15,2,2,5,no,4,4,no,yes,16,portuguese
2,0,14,13,3,2,5,yes,1,2,yes,yes,14,portuguese
2,2,16,15,2,3,5,yes,4,2,no,yes,16,portuguese
2,0,17,16,4,4,4,no,4,4,no,yes,16,portuguese
1,0,10,10,5,5,5,yes,1,1,yes,yes,16,portuguese
2,0,13,13,4,3,1,yes,1,2,yes,no,10,portuguese
3,0,14,13,4,4,4,yes,4,3,yes,yes,13,portuguese
2,0,13,12,4,4,2,yes,4,3,yes,no,12,portuguese
2,2,16,15,4,3,1,yes,4,3,no,yes,16,portuguese
4,0,11,12,3,3,3,yes,4,4,no,yes,12,portuguese
